Query Sequence ID,Subject sequence ID
TCONS_00000001,sp|O15234|CASC3_HUMAN
TCONS_00000002,sp|O15234|CASC3_HUMAN
TCONS_00000003,sp|Q9UHV5|RPGFL_HUMAN
TCONS_00000004,sp|Q9UHV5|RPGFL_HUMAN
TCONS_00000006,sp|P22392|NDKB_HUMAN
TCONS_00000089,sp|Q05BQ5|MBTD1_HUMAN
TCONS_00000090,sp|Q05BQ5|MBTD1_HUMAN
TCONS_00000092,sp|Q05BQ5|MBTD1_HUMAN
TCONS_00000008,sp|Q6ZUM4|RHG27_HUMAN
TCONS_00000009,sp|Q6ZUM4|RHG27_HUMAN
TCONS_00000010,sp|Q6ZUM4|RHG27_HUMAN
TCONS_00000011,sp|Q6ZUM4|RHG27_HUMAN
TCONS_00000016,sp|Q6ZUM4|RHG27_HUMAN
TCONS_00000018,sp|Q6ZUM4|RHG27_HUMAN
TCONS_00000021,sp|Q8IW40|CC103_HUMAN
TCONS_00000022,sp|Q8IZP0|ABI1_HUMAN
TCONS_00000023,sp|Q8IZP0|ABI1_HUMAN
TCONS_00000024,sp|Q8IZP0|ABI1_HUMAN
TCONS_00000025,sp|Q8IZP0|ABI1_HUMAN
TCONS_00000026,sp|Q8IZP0|ABI1_HUMAN
TCONS_00000031,sp|P16442|BGAT_HUMAN
TCONS_00000032,sp|P26006|ITA3_HUMAN
TCONS_00000033,sp|P26006|ITA3_HUMAN
TCONS_00000034,sp|P26006|ITA3_HUMAN
TCONS_00000036,sp|P26006|ITA3_HUMAN
TCONS_00000037,sp|P26006|ITA3_HUMAN
TCONS_00000039,sp|P26006|ITA3_HUMAN
TCONS_00000040,sp|P26006|ITA3_HUMAN
TCONS_00000041,sp|P26006|ITA3_HUMAN
TCONS_00000042,sp|P26006|ITA3_HUMAN
TCONS_00000043,sp|P26006|ITA3_HUMAN
TCONS_00000044,sp|P26006|ITA3_HUMAN
TCONS_00000045,sp|P26006|ITA3_HUMAN
TCONS_00000046,sp|P26006|ITA3_HUMAN
TCONS_00000047,sp|P26006|ITA3_HUMAN
TCONS_00000051,sp|P55058|PLTP_HUMAN
TCONS_00000096,sp|Q8NG50|RDM1_HUMAN
TCONS_00000098,sp|O43759|SNG1_HUMAN
TCONS_00000099,sp|O43759|SNG1_HUMAN
TCONS_00000100,sp|P08514|ITA2B_HUMAN
TCONS_00000101,sp|P08514|ITA2B_HUMAN
TCONS_00000103,sp|P29972|AQP1_HUMAN
TCONS_00000104,sp|P29972|AQP1_HUMAN
TCONS_00000053,sp|P34998|CRFR1_HUMAN
TCONS_00000055,sp|P10636|TAU_HUMAN
TCONS_00000106,sp|P30260|CDC27_HUMAN
TCONS_00000107,sp|P30260|CDC27_HUMAN
TCONS_00000108,sp|P30260|CDC27_HUMAN
TCONS_00000109,sp|P01241|SOMA_HUMAN
TCONS_00000110,sp|P35499|SCN4A_HUMAN
TCONS_00000111,sp|P35499|SCN4A_HUMAN
TCONS_00000112,sp|P35498|SCN1A_HUMAN
TCONS_00000114,sp|Q99250|SCN2A_HUMAN
TCONS_00000115,sp|Q96BH1|RNF25_HUMAN
TCONS_00000116,sp|Q96BH1|RNF25_HUMAN
TCONS_00000118,sp|Q96BH1|RNF25_HUMAN
TCONS_00000061,sp|Q16534|HLF_HUMAN
TCONS_00000120,sp|Q15546|PAQRB_HUMAN
TCONS_00000121,sp|Q15546|PAQRB_HUMAN
TCONS_00000122,sp|Q15546|PAQRB_HUMAN
TCONS_00000123,sp|Q9NV29|TM100_HUMAN
TCONS_00000063,sp|Q9UKL6|PPCT_HUMAN
TCONS_00000066,sp|Q13253|NOGG_HUMAN
TCONS_00000125,sp|Q14781|CBX2_HUMAN
TCONS_00000126,sp|Q6UWV6|ENPP7_HUMAN
TCONS_00000070,sp|A6NFN3|RFOX3_HUMAN
TCONS_00000071,sp|A6NFN3|RFOX3_HUMAN
TCONS_00000074,sp|A6NFN3|RFOX3_HUMAN
TCONS_00000075,sp|Q14957|NMDE3_HUMAN
TCONS_00000137,sp|Q8NE00|TM104_HUMAN
TCONS_00000076,sp|P46098|5HT3A_HUMAN
TCONS_00000139,sp|P46098|5HT3A_HUMAN
TCONS_00000140,sp|Q7Z6J9|SEN54_HUMAN
TCONS_00000142,sp|P02741|CRP_HUMAN
TCONS_00000078,sp|Q15022|SUZ12_HUMAN
TCONS_00000079,sp|Q15022|SUZ12_HUMAN
TCONS_00000080,sp|Q15022|SUZ12_HUMAN
TCONS_00000081,sp|Q15022|SUZ12_HUMAN
TCONS_00000144,sp|Q8IUI8|CRLF3_HUMAN
TCONS_00000145,sp|Q8IUI8|CRLF3_HUMAN
TCONS_00000082,sp|Q2QL34|MP17L_HUMAN
TCONS_00000083,sp|Q2QL34|MP17L_HUMAN
TCONS_00000085,sp|Q9GZM8|NDEL1_HUMAN
TCONS_00000148,sp|P35749|MYH11_HUMAN
